Time,Period,Team,Primary Player,Secondary Player,Play Description,Event Type,Action Type,Outcome,Distance (ft),Current Points Scored,IND Cum. Score,SAS Cum. Score
3:12.0,Q1,San Antonio Spurs,H. Barnes,,Turnover by H. Barnes(bad pass),Turnover,bad pass,N/A,N/A,No points scored,IND: 23,SAS: 18
2:58.0,Q1,Indiana Pacers,A. Nesmith,,Turnover by A. Nesmith(lost ball; steal by J. Sochan),Turnover,lost ball; steal by J. Sochan,N/A,N/A,No points scored,IND: 23,SAS: 18
2:53.0,Q1,San Antonio Spurs,H. Barnes,,Turnover by H. Barnes(bad pass; steal by T. McConnell),Turnover,bad pass; steal by T. McConnell,N/A,N/A,No points scored,IND: 23,SAS: 18
2:41.0,Q1,Indiana Pacers,T. Bryant,O. Toppin,T. Bryant makes 2-pt hook shot from 6 ft (assist by O. Toppin),Shot,Hook Shot,Made,6 ft,IND: 2,IND: 25,SAS: 18
2:16.0,Q1,San Antonio Spurs,H. Barnes,,H. Barnes misses 3-pt jump shot from 47 ft,Shot,Jump Shot,Missed,47 ft,No points scored,IND: 25,SAS: 18
2:14.0,Q1,San Antonio Spurs,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 25,SAS: 18
2:14.0,Q1,San Antonio Spurs,,,Turnover by Team (shot clock),Turnover,shot clock,N/A,N/A,No points scored,IND: 25,SAS: 18
2:14.0,Q1,Indiana Pacers,M. Turner,,M. Turner enters the game for T. Bryant,Substitution,Enters Game,N/A,N/A,No points scored,IND: 25,SAS: 18
2:14.0,Q1,San Antonio Spurs,J. Champagnie,,J. Champagnie enters the game for H. Barnes,Substitution,Enters Game,N/A,N/A,No points scored,IND: 25,SAS: 18
2:14.0,Q1,San Antonio Spurs,V. Wembanyama,,V. Wembanyama enters the game for D. Vassell,Substitution,Enters Game,N/A,N/A,No points scored,IND: 25,SAS: 18
2:06.0,Q1,Indiana Pacers,T. McConnell,A. Nembhard,T. McConnell makes 2-pt layup from 3 ft (assist by A. Nembhard),Shot,Layup,Made,3 ft,IND: 2,IND: 27,SAS: 18
1:46.0,Q1,San Antonio Spurs,T. Jones,,T. Jones misses 2-pt layup from 2 ft,Shot,Layup,Missed,2 ft,No points scored,IND: 27,SAS: 18
1:44.0,Q1,San Antonio Spurs,K. Johnson,,Offensive rebound by K. Johnson,Rebound,Offensive,N/A,N/A,No points scored,IND: 27,SAS: 18
1:43.0,Q1,San Antonio Spurs,K. Johnson,,K. Johnson makes 2-pt layup from 4 ft,Shot,Layup,Made,4 ft,SAS: 2,IND: 27,SAS: 20
1:27.0,Q1,Indiana Pacers,T. McConnell,,Turnover by T. McConnell(bad pass; steal by J. Sochan),Turnover,bad pass; steal by J. Sochan,N/A,N/A,No points scored,IND: 27,SAS: 20
1:21.0,Q1,San Antonio Spurs,J. Sochan,T. Jones,J. Sochan makes 2-pt layup from 1 ft (assist by T. Jones),Shot,Layup,Made,1 ft,SAS: 2,IND: 27,SAS: 22
1:07.0,Q1,Indiana Pacers,M. Turner,,M. Turner misses 3-pt jump shot from 27 ft,Shot,Jump Shot,Missed,27 ft,No points scored,IND: 27,SAS: 22
1:03.0,Q1,Indiana Pacers,T. McConnell,,Offensive rebound by T. McConnell,Rebound,Offensive,N/A,N/A,No points scored,IND: 27,SAS: 22
1:00.0,Q1,Indiana Pacers,A. Nesmith,T. McConnell,A. Nesmith makes 3-pt jump shot from 26 ft (assist by T. McConnell),Shot,Jump Shot,Made,26 ft,IND: 3,IND: 30,SAS: 22
0:55.0,Q1,San Antonio Spurs,T. McConnell,T. Jones,Personal foul by T. McConnell(drawn by T. Jones),Foul,Personal,N/A,N/A,No points scored,IND: 30,SAS: 22
0:55.0,Q1,Indiana Pacers,B. Sheppard,,B. Sheppard enters the game for A. Nembhard,Substitution,Enters Game,N/A,N/A,No points scored,IND: 30,SAS: 22
0:55.0,Q1,Indiana Pacers,P. Siakam,,P. Siakam enters the game for O. Toppin,Substitution,Enters Game,N/A,N/A,No points scored,IND: 30,SAS: 22
0:41.0,Q1,San Antonio Spurs,J. Sochan,,J. Sochan misses 2-pt hook shot from 9 ft,Shot,Hook Shot,Missed,9 ft,No points scored,IND: 30,SAS: 22
0:38.0,Q1,Indiana Pacers,T. McConnell,,Defensive rebound by T. McConnell,Rebound,Defensive,N/A,N/A,No points scored,IND: 30,SAS: 22
0:31.0,Q1,Indiana Pacers,M. Turner,T. McConnell,M. Turner makes 3-pt jump shot from 23 ft (assist by T. McConnell),Shot,Jump Shot,Made,23 ft,IND: 3,IND: 33,SAS: 22
0:08.0,Q1,San Antonio Spurs,V. Wembanyama,,V. Wembanyama misses 2-pt jump shot from 18 ft,Shot,Jump Shot,Missed,18 ft,No points scored,IND: 33,SAS: 22
0:06.0,Q1,San Antonio Spurs,K. Johnson,,Offensive rebound by K. Johnson,Rebound,Offensive,N/A,N/A,No points scored,IND: 33,SAS: 22
0:06.0,Q1,San Antonio Spurs,K. Johnson,,K. Johnson makes 2-pt layup at rim,Shot,Layup,Made,N/A,SAS: 2,IND: 33,SAS: 24
0:00.0,Q1,Indiana Pacers,T. McConnell,,T. McConnell misses 2-pt jump shot from 16 ft,Shot,Jump Shot,Missed,16 ft,No points scored,IND: 33,SAS: 24
0:00.0,Q1,Indiana Pacers,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 33,SAS: 24
11:41.0,Q2,Indiana Pacers,P. Siakam,,P. Siakam misses 2-pt jump shot from 13 ft,Shot,Jump Shot,Missed,13 ft,No points scored,IND: 33,SAS: 24
11:36.0,Q2,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 33,SAS: 24
11:21.0,Q2,San Antonio Spurs,K. Johnson,,K. Johnson misses 2-pt layup from 4 ft,Shot,Layup,Missed,4 ft,No points scored,IND: 33,SAS: 24
11:20.0,Q2,Indiana Pacers,M. Turner,,Defensive rebound by M. Turner,Rebound,Defensive,N/A,N/A,No points scored,IND: 33,SAS: 24
11:14.0,Q2,Indiana Pacers,M. Turner,A. Nesmith,M. Turner makes 2-pt dunk from 3 ft (assist by A. Nesmith),Shot,Dunk,Made,3 ft,IND: 2,IND: 35,SAS: 24
10:55.0,Q2,San Antonio Spurs,S. Mamukelashvili,C. Paul,S. Mamukelashvili makes 2-pt dunk from 1 ft (assist by C. Paul),Shot,Dunk,Made,1 ft,SAS: 2,IND: 35,SAS: 26
10:38.0,Q2,Indiana Pacers,A. Nesmith,P. Siakam,A. Nesmith makes 2-pt jump shot from 7 ft (assist by P. Siakam),Shot,Jump Shot,Made,7 ft,IND: 2,IND: 37,SAS: 26
10:17.0,Q2,San Antonio Spurs,V. Wembanyama,,V. Wembanyama misses 3-pt jump shot from 28 ft,Shot,Jump Shot,Missed,28 ft,No points scored,IND: 37,SAS: 26
10:15.0,Q2,Indiana Pacers,P. Siakam,,Defensive rebound by P. Siakam,Rebound,Defensive,N/A,N/A,No points scored,IND: 37,SAS: 26
10:03.0,Q2,Indiana Pacers,P. Siakam,V. Wembanyama,P. Siakam misses 2-pt jump shot from 6 ft (block by V. Wembanyama),Shot,Jump Shot,Missed,6 ft,No points scored,IND: 37,SAS: 26
10:01.0,Q2,San Antonio Spurs,,,Defensive rebound by Team,Rebound,Defensive,N/A,N/A,No points scored,IND: 37,SAS: 26
10:01.0,Q2,San Antonio Spurs,S. Castle,,S. Castle enters the game for K. Johnson,Substitution,Enters Game,N/A,N/A,No points scored,IND: 37,SAS: 26
9:47.0,Q2,San Antonio Spurs,V. Wembanyama,S. Castle,V. Wembanyama makes 2-pt layup from 1 ft (assist by S. Castle),Shot,Layup,Made,1 ft,SAS: 2,IND: 37,SAS: 28
9:35.0,Q2,Indiana Pacers,A. Nesmith,,Turnover by A. Nesmith(bad pass; steal by V. Wembanyama),Turnover,bad pass; steal by V. Wembanyama,N/A,N/A,No points scored,IND: 37,SAS: 28
9:32.0,Q2,San Antonio Spurs,V. Wembanyama,,V. Wembanyama makes 3-pt jump shot from 31 ft,Shot,Jump Shot,Made,31 ft,SAS: 3,IND: 37,SAS: 31
9:30.0,Q2,Indiana Pacers,,,Indiana full timeout,Timeout,Full,N/A,N/A,No points scored,IND: 37,SAS: 31
9:30.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin enters the game for A. Nesmith,Substitution,Enters Game,N/A,N/A,No points scored,IND: 37,SAS: 31
9:19.0,Q2,Indiana Pacers,T. McConnell,,T. McConnell misses 2-pt jump shot from 20 ft,Shot,Jump Shot,Missed,20 ft,No points scored,IND: 37,SAS: 31
9:16.0,Q2,San Antonio Spurs,S. Mamukelashvili,,Defensive rebound by S. Mamukelashvili,Rebound,Defensive,N/A,N/A,No points scored,IND: 37,SAS: 31
9:01.0,Q2,San Antonio Spurs,S. Castle,M. Turner,S. Castle misses 2-pt dunk from 4 ft (block by M. Turner),Shot,Dunk,Missed,4 ft,No points scored,IND: 37,SAS: 31
9:00.0,Q2,Indiana Pacers,P. Siakam,,Defensive rebound by P. Siakam,Rebound,Defensive,N/A,N/A,No points scored,IND: 37,SAS: 31
8:53.0,Q2,Indiana Pacers,B. Mathurin,,B. Mathurin misses 2-pt layup from 4 ft,Shot,Layup,Missed,4 ft,No points scored,IND: 37,SAS: 31
8:51.0,Q2,Indiana Pacers,P. Siakam,,Offensive rebound by P. Siakam,Rebound,Offensive,N/A,N/A,No points scored,IND: 37,SAS: 31
8:50.0,Q2,Indiana Pacers,P. Siakam,,P. Siakam makes 2-pt layup from 4 ft,Shot,Layup,Made,4 ft,IND: 2,IND: 39,SAS: 31
8:41.0,Q2,San Antonio Spurs,V. Wembanyama,P. Siakam,V. Wembanyama misses 2-pt jump shot from 7 ft (block by P. Siakam),Shot,Jump Shot,Missed,7 ft,No points scored,IND: 39,SAS: 31
8:38.0,Q2,San Antonio Spurs,S. Mamukelashvili,,Offensive rebound by S. Mamukelashvili,Rebound,Offensive,N/A,N/A,No points scored,IND: 39,SAS: 31
8:37.0,Q2,San Antonio Spurs,C. Paul,S. Mamukelashvili,C. Paul makes 3-pt jump shot from 26 ft (assist by S. Mamukelashvili),Shot,Jump Shot,Made,26 ft,SAS: 3,IND: 39,SAS: 34
8:19.0,Q2,Indiana Pacers,T. McConnell,,Turnover by T. McConnell(bad pass; steal by S. Mamukelashvili),Turnover,bad pass; steal by S. Mamukelashvili,N/A,N/A,No points scored,IND: 39,SAS: 34
8:17.0,Q2,San Antonio Spurs,B. Mathurin,S. Mamukelashvili,Shooting foul by B. Mathurin(drawn by S. Mamukelashvili),Foul,Shooting,N/A,N/A,No points scored,IND: 39,SAS: 34
8:17.0,Q2,San Antonio Spurs,S. Mamukelashvili,,S. Mamukelashvili misses free throw 1 of 2,Shot,Free Throw,Missed,N/A,No points scored,IND: 39,SAS: 34
8:17.0,Q2,San Antonio Spurs,,,Offensive rebound by Team,Rebound,Offensive,N/A,N/A,No points scored,IND: 39,SAS: 34
8:17.0,Q2,Indiana Pacers,T. Haliburton,,T. Haliburton enters the game for T. McConnell,Substitution,Enters Game,N/A,N/A,No points scored,IND: 39,SAS: 34
8:17.0,Q2,San Antonio Spurs,S. Mamukelashvili,,S. Mamukelashvili makes free throw 2 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 39,SAS: 35
8:05.0,Q2,Indiana Pacers,P. Siakam,,P. Siakam misses 3-pt jump shot from 26 ft,Shot,Jump Shot,Missed,26 ft,No points scored,IND: 39,SAS: 35
8:00.0,Q2,San Antonio Spurs,V. Wembanyama,,Defensive rebound by V. Wembanyama,Rebound,Defensive,N/A,N/A,No points scored,IND: 39,SAS: 35
7:52.0,Q2,San Antonio Spurs,C. Paul,,C. Paul makes 2-pt layup from 1 ft,Shot,Layup,Made,1 ft,SAS: 2,IND: 39,SAS: 37
7:43.0,Q2,Indiana Pacers,B. Sheppard,,B. Sheppard misses 2-pt layup from 2 ft,Shot,Layup,Missed,2 ft,No points scored,IND: 39,SAS: 37
7:42.0,Q2,Indiana Pacers,B. Sheppard,,Offensive rebound by B. Sheppard,Rebound,Offensive,N/A,N/A,No points scored,IND: 39,SAS: 37
7:29.0,Q2,Indiana Pacers,P. Siakam,,P. Siakam misses 2-pt jump shot from 21 ft,Shot,Jump Shot,Missed,21 ft,No points scored,IND: 39,SAS: 37
7:27.0,Q2,San Antonio Spurs,S. Mamukelashvili,,Defensive rebound by S. Mamukelashvili,Rebound,Defensive,N/A,N/A,No points scored,IND: 39,SAS: 37
7:08.0,Q2,San Antonio Spurs,S. Castle,,S. Castle misses 3-pt jump shot from 27 ft,Shot,Jump Shot,Missed,27 ft,No points scored,IND: 39,SAS: 37
7:04.0,Q2,San Antonio Spurs,V. Wembanyama,,Offensive rebound by V. Wembanyama,Rebound,Offensive,N/A,N/A,No points scored,IND: 39,SAS: 37
7:04.0,Q2,San Antonio Spurs,B. Sheppard,V. Wembanyama,Shooting foul by B. Sheppard(drawn by V. Wembanyama),Foul,Shooting,N/A,N/A,No points scored,IND: 39,SAS: 37
7:04.0,Q2,San Antonio Spurs,V. Wembanyama,,V. Wembanyama makes free throw 1 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 39,SAS: 38
7:04.0,Q2,Indiana Pacers,O. Toppin,,O. Toppin enters the game for P. Siakam,Substitution,Enters Game,N/A,N/A,No points scored,IND: 39,SAS: 38
7:04.0,Q2,San Antonio Spurs,H. Barnes,,H. Barnes enters the game for J. Champagnie,Substitution,Enters Game,N/A,N/A,No points scored,IND: 39,SAS: 38
7:04.0,Q2,San Antonio Spurs,V. Wembanyama,,V. Wembanyama makes free throw 2 of 2,Shot,Free Throw,Made,N/A,SAS: 1,IND: 39,SAS: 39
6:56.0,Q2,Indiana Pacers,M. Turner,,M. Turner misses 3-pt jump shot from 28 ft,Shot,Jump Shot,Missed,28 ft,No points scored,IND: 39,SAS: 39
